trip_distance,weekday,hour,day_rank
17.2,Monday,7.116666666666666,1
17.05,Monday,10.533333333333333,1
15.73,Monday,23.866666666666667,1
15.56,Monday,23.866666666666667,1
16.054,Monday,23.833333333333332,1
15.98,Monday,23.75,1
22.69,Monday,23.683333333333334,1
15.31,Monday,23.983333333333334,1
16.97,Monday,23.716666666666665,1
20.56,Monday,0.8666666666666667,1
16.71,Monday,0.6333333333333333,1
18.607,Monday,0.23333333333333334,1
16.188,Monday,0.11666666666666667,1
16.84,Monday,0.55,1
17.539,Monday,0.31666666666666665,1
17.69,Monday,0.8666666666666667,1
16.64,Monday,0.2,1
15.74,Monday,0.6833333333333333,1
16.515,Monday,0.16666666666666666,1
17.473,Monday,0.1,1
15.74,Monday,0.43333333333333335,1
20.4,Monday,0.5833333333333334,1
15.82,Monday,0.3,1
16.09,Monday,0.9833333333333333,1
15.5,Monday,0.9833333333333333,1
17.12,Monday,0.2833333333333333,1
17.53,Monday,0.1,1
21.53,Monday,0.5666666666666667,1
21.617,Monday,0.08333333333333333,1
17.85,Monday,0.35,1
15.677,Monday,0.8333333333333334,1
16.67,Monday,0.06666666666666667,1
16.01,Monday,0.7833333333333333,1
17.28,Monday,0.21666666666666667,1
22.99,Monday,0.5166666666666667,1
15.716,Monday,0.06666666666666667,1
16.499,Monday,0.7833333333333333,1
16.33,Monday,0.5833333333333334,1
23.664,Monday,0.9,1
15.4,Monday,0.26666666666666666,1
15.545,Monday,0.4666666666666667,1
16.243,Monday,0.4666666666666667,1
23.84,Monday,0.1,1
15.35,Monday,0.9166666666666666,1
16.17,Monday,1.2333333333333334,1
15.592,Monday,1.4666666666666668,1
15.091,Monday,1.3166666666666667,1
15.36,Monday,1.65,1
25.619,Monday,1.45,1
15.25,Monday,1.45,1
20.17,Monday,1.5166666666666666,1
15.49,Monday,1.9,1
15.75,Monday,1.4666666666666668,1
16.56,Monday,1.7,1
16.512,Monday,1.15,1
15.215,Monday,1.1833333333333333,1
16.81,Monday,1.0333333333333334,1
16.42,Monday,1.1,1
16.72,Monday,1.4166666666666667,1
16.09,Monday,1.9333333333333333,1
21.611,Monday,1.7333333333333334,1
16.95,Monday,1.3666666666666667,1
20.52,Monday,1.6333333333333333,1
19.634,Monday,1.1666666666666667,1
